BrowseAuthor,BrowseTitle,PublicationYear,CallNumber,TotalItemLifetimeCircCount,TotalItemYTDCircCount,,Call No. Color Code
"Quilligan, Maureen, 1944- author.",When women ruled the world : making the Renaissance in Europe,2021,321 QUI,13,1,,
"Elliott, Andrea, author.","Invisible child : poverty, survival & hope in an American city",2021,362.7 ELL,13,1,,
"Asprey, Dave, author.",Super human : the bulletproof plan to age backward and maybe even live forever,2019,612.68 ASP,13,1,,
"Dooner, Caroline, author.",The f*ck it diet : eating should be easy,2019,613.25 DOO,13,1,,
,Home skills : master your domain with practical solutions to everyday challenges,2022,640 HOM,13,1,,
"Liu, Christine, author.","Sustainable home : practical projects, tips and advice for maintaining a more eco-friendly household",2018,640.286 LIU,13,1,,
"Music, Carla Lalli, author.",Where cooking begins,2019,641.5 MUS,13,1,,
"Menashe, Ori, author.",Bestia : Italian recipes created in the heart of L.A.,2018,641.5945 MEN,13,1,,
"Stewart, Martha, author.","Martha Stewart's organizing : the manual for bringing order to your life, home & routines",2020,648.8 STE,13,1,,
"Schmidt, Eric, 1955 April 27- author.",Trillion-dollar coach : the leadership playbook from Silicon Valley's Bill Campbell,2019,658.4 SCH,13,1,,
"Overstreet, Robert M., author.","The Overstreet comic book price guide : comics from the 1500s - present, included fully illustrated catalogue & evaluation guide",2020,741.5 OVE,13,1,,
"Moylan, Brian (Brian James), author.",The housewives : the real story behind the Real Housewives,2021,791.45 MOY,13,1,,
"Glauber, Bob, author.",Guts and genius : the story of three unlikely coaches who came to dominate the NFL in the '80s,2018,796.332 GLA,13,1,,
,100 poems to break your heart,2021,808.81 ONE,13,1,,
"Sehlinger, Bob, 1945- author.",The unofficial guide to Walt Disney World 2022,2022,917.5924 UNO,13,1,,
"Longo, James McMurtry.",Hitler and the Habsburgs : the Fuhrer's vendetta against the Austrian royals,2018,943.6 LON,13,1,,
,The 1619 Project : a new origin story,2021,973 SIX,13,1,,
"Patterson, James, 1947-",The last days of John Lennon,2020,"BIOG LENNON,J PAT",13,1,,
"Ridgeley, Andrew, 1963- author.","Wham!, George Michael, and me : a memoir",2019,"BIOG RIDGELEY,A RID",13,1,,
"Brosh, Allie, author, illustrator.",Solutions and other problems,2020,"GRAPHIC BIOG BROSH,A BRO",13,1,,
"Spivey, Dwight.",iPhone for seniors for dummies,2017,004.1675 APPLE IPHONE DUM,13,0,,
"Taylor, Allen G.",SQL all-in-one for dummies,2019,005.133 SQL DUM,13,0,,
,"National geographic almanac 2019 : hot new science, incredible photographs, maps, facts, infographics & more.",2018,031 NAT,13,0,,
"Lee-Baggley, Danya, author.",Healthy habits suck : how to get off the couch & live a healthy life... even if you don't want to,2019,153.8 LEE,13,0,,
"Chernoff, Marc, author.","1000+ little habits of happy, successful relationships",2021,158.2 CHE,13,0,,
"Kaag, John J., 1979- author.",Hiking with Nietzsche : on becoming who you are,2018,193 KAA,13,0,,
"McKnight, Scot.","Open to the Spirit : God in us, God with us, God transforming us",2018,231.3 MCK,13,0,,
"Martel, FrÃ©dÃ©ric, 1967- author.","In the closet of the Vatican : power, homosexuality, hypocrisy",2019,282 MAR,13,0,,
"Paul, Pamela, author.",100 things we've lost to the internet,2021,302.231 PAU,13,0,,
"Pinker, Steven, 1954- author.","Enlightenment now : the case for reason, science, humanism, and progress",2018,303.44 PIN,13,0,,
"Szejnert, MaÅ‚gorzata, author.",Ellis Island : a people's history,2020,304.873 SZE,13,0,,
"Philpott, Mary Laura, author.",I miss you when I blink : essays,2019,305.244 PHI,13,0,,
"Musk, Maye, 1948- author.","A woman makes a plan : advice for a lifetime of adventure, beauty, and success",2019,305.4 MUS,13,0,,
"Kendi, Ibram X., author.",How to be an antiracist,2019,305.8 KEN,13,0,,
"Bergman, Ronen, author.",Rise and kill first : the secret history of Israel's targeted assassinations,2018,320.9569 BER,13,0,,
"Ramaswamy, Vivek, author.","Woke, Inc. : inside corporate America's social justice scam",2021,322.3 RAM,13,0,,
"Andrew, Christopher M, author.",The secret world : a history of intelligence,2018,327.12 AND,13,0,,
"Kagan, Robert, author.",The jungle grows back : the case for American power,2018,327.73 KAG,13,0,,
"Appelbaum, Binyamin, author.","The Economists' Hour : false prophets, free markets, and the fracture of society",2019,330.973 APP,13,0,,
"Birken, Emily Guy, author.",The 5 years before you retire : retirement planning when you need it the most,2021,332.024 BIR,13,0,,
"Mill, Alfred, author.","Personal finance 101 : from saving and investing to taxes and loans, an essential primer on personal finance",2020,332.024 MIL,13,0,,
"Logue, Ann C., author.",Day trading,2019,332.642 DUM,13,0,,
"Cabot, Heather, author.",The new chardonnay : the unlikely story of how marijuana went mainstream,2020,338.1 CAB,13,0,,
"Okrent, Daniel, 1948- author.","The guarded gate : bigotry, eugenics, and the law that kept two generations of Jews, Italians, and other European immigrants out of America",2019,344.743 OKR,13,0,,
"Chung, Nicole, author.",All you can ever know : a memoir,2018,362.734 CHU,13,0,,
"Plokhy, Serhii, 1957- author.",Chernobyl : the history of a nuclear catastrophe,2018,363.1799 PLO,13,0,,
"McGowan, Michael (Michael R.), author.",Ghost : my thirty years as an FBI undercover agent,2018,363.25 MCG,13,0,,
"Leonnig, Carol, author.",Zero fail : the rise and fall of the Secret Service,2021,363.28 LEO,13,0,,
"Glatt, John, author.",Golden boy : a murder among the Manhattan elite,2021,364.1523 GLA,13,0,,
"Patterson, James, 1947- author.",Murder beyond the grave : true-crime thrillers,2018,364.1523 PAT,13,0,,
"Holzer, Tyler S., author.",Barron's Accuplacer math,2017,378.1662 ACC-MATH BAR,13,0,,
"Hatch, Lisa Zimmer, author.",The GMAT for dummies,2017,378.1662 GMAT FOR,13,0,,
"Stewart, Brian W., author.",Barron's PSAT/NMSQT study guide : with 4 practice tests,2020,378.1662 PSAT BAR,13,0,,
"Randolph, Marc, author.",That will never work : the birth of Netflix and the amazing life of an idea,2019,384.55 RAN,13,0,,
"Metzl, Jamie Frederic, author.",Hacking Darwin : genetic engineering and the future of humanity,2019,576.5 MET,13,0,,
"Svensson, Patrik, 1972- author.",The book of eels : our enduring fascination with the most mysterious creature in the natural world,2020,597 SVE,13,0,,
"Knapp, Eli J., author.",The delightful horror of family birding : sharing nature with the next generation,2018,598.072 KNA,13,0,,
"Hanson, Rick (Psychologist), author.",Neurodharma,2020,612.8 HAN,13,0,,
"Fuhrman, Joel, author.",Fast food genocide : how to win the battle against processed food and take back our health,2017,613.2 FUH,13,0,,
"Mercola, Joseph, author.",Ketofast : rejuvenate your health with a step-by-step guide to timing your ketogenic meals,2019,613.25 MER,13,0,,
"Whittel, Naomi, author.","Glow15 : a science-based plan to lose weight, rejuvenate your skin, and invigorate your life",2018,613.25 WHI,13,0,,
"Wentz, Izabella, author.",Hashimoto's food pharmacology : nutrition protocols and healing recipes to take charge of your thyroid health,2018,616.44 WEN,13,0,,
"French, Erin, author.",Finding Freedom : a cook's story; remaking a life from scratch,2021,641.5 FRE,13,0,,
"Kluger, Dan, author.",Chasing flavor : techniques and recipes to cook fearlessly,2020,641.5 KLU,13,0,,
"Ray, Rachael, author.",Rachael Ray 50 : memories and meals from a sweet and savory life : a cookbook,2019,641.5 RAY,13,0,,
"Turshen, Julia, author.",Now & again,2018,641.5 TUR,13,0,,
"Christensen, Ashley, author.",It's always freezer season : how to freeze like a chef with 100 make-ahead recipes,2021,641.555 CHR,13,0,,
"Borges, Marco, author.","The greenprint : plant-based diet, best body, better world",2018,641.5636 BOR,13,0,,
"Firth, Henry, author.","Bosh! : simple recipes, amazing food, all plants",2018,641.5636 FIR,13,0,,
"Ghayour, Sabrina, author.",Bazaar: vibrant vegetarian recipes,2019,641.5636 GHA,13,0,,
"Terry, Bryant, 1974- author.",Vegetable kingdom : the abundant world of plant-based recipes,2020,641.5636 TER,13,0,,
"Acheson, Hugh, author.",Sous vide : better home cooking,2019,641.587 ACH,13,0,,
"Tipton-Martin, Toni, author.",Jubilee : recipes from two centuries of African-American cooking,2019,641.5929 TIP,13,0,,
"Chou, Hsiao-Ching, 1972- author.","Chinese soul food : a friendly guide for homemade dumplings, stir-fries, soups, and more",2018,641.5951 CHO,13,0,,
"Tamimi, Sami, author.",Falastin : a cookbook,2020,641.5956 TAM,13,0,,
MartÃ,The Mexican home kitchen : traditional home-style recipes that capture the flavors and memories of Mexico,2020,641.5972 MAR,13,0,,
,Spiced : unlock the power of spices to transform your cooking,2019,641.6383 SPI,13,0,,
"Lomas, Vallery, author.","Life is what you bake it : recipes, stories & inspiration to bake your way to the top",2021,641.815 LOM,13,0,,
"Lenihan, Tim W. author.",Flipping houses,2017,643.12 LEN,13,0,,
"Mueffling, ClÃ©mence von, author.",Ageless beauty the French way : secrets from three generations of french beauty editors,2018,646.726 MUE,13,0,,
"Sinek, Simon, author.",The infinite game,2018,658.4092 SIN,13,0,,
"Bendrick, Sara, author.",Big impact landscaping : 28 DIY projects you can do on a budget to beautify and add value to your home,2017,712.6 BEN,13,0,,
"Jordan, Leslie, 1955-2022 author.",How y'all doing? : misadventures and mischief from a life well lived,2021,792 JOR,13,0,,
"Moore, Lane, author.","How to be alone : if you want to, and even if you don't",2018,792.7 MOO,13,0,,
"Konnikova, Maria, author.","The biggest bluff : how I learned to pay attention, master myself, and win",2020,795.412 KON,13,0,,
"Fitzgerald, Matt, author.",Life is a marathon : a memoir of love and endurance,2019,796.42 FIT,13,0,,
,Writer's market 2020,2019,808.02 WRI,13,0,,
"Didion, Joan, author.",Let me tell you what I mean,2021,814.54 DID,13,0,,
"Bramblett, Reid, author.",Top 10 Milan & the lakes,2018,914.52 MIL,13,0,,
,Naples and the Amalfi Coast. 2020.,2020,914.573 NAP,13,0,,
,Southwest USA and national parks [2021],2021,917.9 SOU,13,0,,
"Olson, Lynne, author.",Madame Fourcade's secret war : the daring young woman who led France's largest spy network against Hitler,2019,940.54 OLS,13,0,,
"Price, Neil S., author.",Children of ash and elm : a history of the Vikings,2020,948.022 PRI,13,0,,
Anonymous,A warning,2019,973.933 ANO,13,0,,
"Wilson, Rick, 1963- author.",Everything Trump touches dies : a Republican strategist gets real about the worst President ever,2018,973.933 WIL,13,0,,
"Jelly-Schapiro, Joshua, author.","Names of New York : discovering the city's past, present, and future through its place-names",2021,974.71 JEL,13,0,,
"Buttigieg, Pete, 1982-, author.",Shortest way home : one mayor's challenge and a model for America's future,2019,"BIOG BUTTIGIEG,P BUT",13,0,,
"Leamer, Laurence, author.","Capote's women : a true story of love, betrayal, and a swan song for an era",2021,"BIOG CAPOTE,T LEA",13,0,,
"Copaken, Deborah, author.",Ladyparts : a memoir,2021,"BIOG COPAKEN,D COP",13,0,,
"Gottlieb, Robert, 1931-2023 author.",Garbo,2021,"BIOG GARBO,G GOT",13,0,,
"Eyman, Scott, 1951- author.",Cary Grant : a brilliant disguise,2021,"BIOG GRANT,C EYM",13,0,,
"Hernandez, Keith, author.",I'm Keith Hernandez : a memoir,2018,"BIOG HERNANDEZ,K HER",13,0,,
"Janetti, Gary, 1966- author.",Do you mind if I cancel? : (things that still annoy me),2019,"BIOG JANETTI,G JAN",13,0,,
"Basbanes, Nicholas A., 1943- author.",Cross of snow : a life of Henry Wadsworth Longfellow,2020,"BIOG LONGFELLOW,H BAS",13,0,,
"Morton, Andrew, 1953- author.",Meghan : a Hollywood princess,2018,"BIOG MARKLE,M MOR",13,0,,
"Newton-John, Olivia, author.",Don't stop believin',2019,"BIOG NEWTON-JOHN,O NEW",13,0,,
"Nooyi, Indra K., author.","My life in full : work, family, and our future",2021,"BIOG NOOYI,I NOO",13,0,,
"Philipps, Busy, 1979- author.",This will only hurt a little,2018,"BIOG PHILIPPS,B PHI",13,0,,
"Black, Conrad, author.",Donald J. Trump : a president like no other,2018,"BIOG TRUMP,D BLA",13,0,,
"Turner, Tina, author.",My love story : a memoir,2018,"BIOG TURNER,T TUR",13,0,,
"Benedict, Jeff, author.",Tiger Woods,2018,"BIOG WOODS,T BEN",13,0,,
"Brown, Box.",Cannabis : the illegalization of weed in America,2019,GRAPHIC 362.295 BRO,13,0,,
"Laman, Tim, author.",The guide to landscape and wildlife photography [videorecording (DVD)],2016,KIT 778.9 LAM,13,0,,
"ì • í˜¸ìŠ¹, 1950-",ë‹¹ì‹  ì,2014,KOREAN 895.745 CHOÌ† 2014,13,0,,
"Swimme, Brian, author.",An unveiling of the expanding universe : in search of a planetary wisdom,2022,520 SWI,12,12,,
"Bonneville, Hugh, author.",Playing under the piano : from Downton to darkest Peru,2022,"BIOG BONNEVILLE,H BON",12,9,,
"Newman, Paul, 1925-2008, author.",The extraordinary life of an ordinary man : a memoir,2022,"BIOG NEWMAN,P NEW",12,9,,
"Lowrie, Melissa, author.",Terrain : the houseplant book : an insider's guide to cultivating and collecting the most sought-after specimens,2022,635.965 LOW,12,8,,
"Pence, Mike, 1959- author.",So help me God,2022,"BIOG PENCE,M PEN",12,8,,
"Livingstone, Natalie, author.",The women of Rothschild : the untold story of the world's most famous dynasty,2022,BIOG ROTHSCHILD LIV,12,8,,
"Urban, Melissa, author.",The book of boundaries : set the limits that will set you free,2022,158.2 URB,12,7,,
"Miller, Chris (Research fellow), author.",Chip war : the fight for the world's most critical technology,2022,338.4762 MIL,12,7,,
"Fiske, Edward B., author.",Fiske guide to colleges 2023,2022,378.73 FIS,12,7,,
"Fleming, Claudia, author.",Delectable : sweet & savory baking,2022,641.86 FLE,12,7,,
,France,2021,914.4 FRA,12,7,,
"Steinberg, Joseph (Cybersecurity expert)",Cybersecurity for dummies,2019,005.8 DUM,12,6,,
"Aliche, Tiffany, author.",Get good with money : ten simple steps to becoming financially whole,2021,332.024 ALI,12,6,,
,SAT premium prep 2023,2022,378.1662 SAT PRI,12,6,,
"Buettner, Dan, author.","The Blue Zones challenge : a 4-week plan for a longer, better life",2021,613 BUE,12,6,,
"Harbison, Peter, author.",Fodor's 25 best. Dublin,2021,914.1835 FOD,12,6,,
"Cain, Susan, author.",Bittersweet : how sorrow and longing make us whole,2022,155.2 CAI,12,5,,
"Masuno, ShunmyoÌ„, author.",Don't worry : 48 lessons on relieving anxiety from a Zen Buddhist monk,2022,294.3 MAS,12,5,,
"Klosterman, Chuck, 1972- author.",The nineties : a book,2022,306.0973 KLO,12,5,,
"Barbour, Julian B., author.",The Janus point : a new theory of time,2020,530.11 BAR,12,5,,
"Frank, Michael, 1959 June 2- author.",One hundred Saturdays : Stella Levi and the search for a lost world,2022,940.5318 FRA,12,5,,
"Kashdan, Todd B., author.",The art of insubordination : how to dissent and defy effectively,2021,303.3 KAS,12,4,,
"Krantz, Matt, author.",Online investing,2019,332.632 DUM,12,4,,
"Banerjee, Abhijit V., 1961-, author.",Good economics for hard times,2019,339 BAN,12,4,,
"Jespersen, Neil D., author.",AP chemistry premium 2022-2023,2021,378.1662 AP-CHEM BAR,12,4,,
,Master the SAT 2020.,2020,378.1662 SAT PET,12,4,,
"Slagle, Ali, author.","I dream of dinner (so you don't have to) : low-effort, high-reward recipes",2022,641.512 SLA,12,4,,
"Erikson, Thomas, 1965- author.","Surrounded by bad bosses (and lazy employees) : how to stop struggling, start succeeding, and deal with idiots at work",2021,650.1 ERI,12,4,,
"Barron, Peter, author.",Frommer's Spain,2020,914.6 FRO,12,4,,
"Davies, Sally (Travel writer), author.",Spain,2020,914.6 SPA,12,4,,
,Scandinavia,2020,914.8 FOD,12,4,,
"Richmond, Simon, author.",Greece,2021,914.95 LON,12,4,,
"Rails-to-Trails Conservancy, author.",Rail-trails : New Jersey & New York : the definitive guide to the region's top multiuse trails,2019,917.49 RAI,12,4,,
"Benard, Maurice, author.",Nothing general about it : how love (and lithium) saved me on and off General Hospital,2020,"BIOG BERNARD,M BER",12,4,,
"Metz, Cade, author.","Genius makers : the mavericks who brought A.I. to Google, Facebook, and the world",2021,006.3 MET,12,3,,
"Friedmutter, Kimberly, author.",Subconscious power : use your inner mind to create the life you've always wanted,2019,154.7 FRI,12,3,,
"Hardy, Benjamin, author.",Be your future self now : the science of intentional transformation,2022,158 HAR,12,3,,
"Price, Devon, author.","Laziness does not exist : a defense of the exhausted, exploited, and overworked",2021,158 PRI,12,3,,
"Schafer, Jack.","The like switch : an ex-FBI agent's guide to influencing, attracting, and winning people over",2015,158.25 SCH,12,3,,
"Schulz, Kathryn, author.",Lost & found : a memoir,2022,306.85 SCH,12,3,,
"Shafik, Minouche, author.",What we owe each other : a new social contract for a better society,2021,320 SHA,12,3,,
"Buffett, Mary, author.",7 secrets to investing like Warren Buffett : a simple guide for beginners,2019,332.67 BUF,12,3,,
"Southon, Emma, author.",A fatal thing happened on the way to the forum : murder in ancient Rome,2021,364.1523 SOU,12,3,,
,ACT prep,2020,378.1662 ACT PRI,12,3,,
,AP English literature & composition prep 2022,2021,378.1662 AP-ENG LIT PRI,12,3,,
"Dusenbery, Maya, author.","Doing harm : the truth about how bad medicine and lazy science leave women dismissed, misdiagnosed, and sick",2017,613.0424 DUS,12,3,,
"Clement, James W., author.","The switch : ignite your metabolism with intermittent fasting, protein cycling, and keto",2019,613.2 CLE,12,3,,
"Hallowell, Edward M., author.",ADHD 2.0 : new science and essential strategies for thriving with distraction-from childhood through adulthood,2021,616.8589 HAL,12,3,,
"Phipps, Mary Ellen, author.","The easy diabetes cookbook : simple, delicious recipes to help you balance your blood sugars",2021,641.5631 PHI,12,3,,
"Melvani, Nisha, author.","Practically vegan : quick, delicious dinners that everyone will love",2022,641.5636 MEL,12,3,,
,"Sous vide for everybody : the easy, foolproof cooking technique that's sweeping the world",2018,641.587 SOU,12,3,,
"Selengut, Becky, author.",Good fish : 100 sustainable seafood recipes from the Pacific Coast,2018,641.692 SEL,12,3,,
"Gorey, Jon, author.","Home buying 101 : from mortgages and the MLS to making the offer and moving in, your essential guide to buying your first home",2022,643.12 GOR,12,3,,
"Barnett, Rob, author.",Next job best job : a headhunter's 11 strategies to get hired now,2021,650.14 BAR,12,3,,
"Lambry, Robert, author.",The draw anything book : over 200 simple step-by-step sequences for all kinds of things,2020,741.2 LAM,12,3,,
"Pearlman, Robb.",Life lessons from Bob Ross : be a peaceful cloud,2020,759.13 PEA,12,3,,
"Gabriel, Mary.","Ninth Street women : Lee Krasner, Elaine De Kooning, Grace Hartigan, Joan Mitchell, and Helen Frankenthaler: five painters and the movement that changed modern art",2018,759.14 GAB,12,3,,
"Turabian, Kate L., author.","A manual for writers of research papers, theses, and dissertations : Chicago Style for students and researchers",2018,808.066 TUR,12,3,,
"Wilson, Casey, 1980- author.",The wreckage of my presence : essays,2021,818.6 WIL,12,3,,
,Road trips Italy,2021,914.5 ITA,12,3,,
"Rice, Christopher, author.",Top 10 Madrid,2021,914.641 MAD,12,3,,
,Stockholm. 2018,2018,914.873 STO,12,3,,
"Jaku, Eddie, author.",The happiest man on Earth : the beautiful life of an Auschwitz survivor,2021,940.5318 JAK,12,3,,
"Rauchway, Eric, author.","Winter war : Hoover, Roosevelt, and the first clash over the New Deal",2018,973.917 RAU,12,3,,
"Moore, Kate (Writer and editor), author.","The woman they could not silence : one woman, her incredible fight for freedom, and the men who tried to make her disappear",2021,"BIOG PACKARD,E MOO",12,3,,
"Lieberman, David J., author.",Never get angry again : the foolproof way to stay calm and in control in any conversation or situation,2018,152.4 LIE,12,2,,
"Martin, Lauren (Founder of Words of Women), author.",The book of moods : how I turned my worst emotions into my best life,2020,152.4 MAR,12,2,,
"Colier, Nancy, author.",Can't stop thinking : how to let go of anxiety and free yourself from obsessive rumination,2021,158.1 COL,12,2,,
"Hart, Bradley W., author.",Hitler's American friends : the Third Reich's supporters in the United States,2018,320.53 HAR,12,2,,
"Patterson, James, 1947- author.","All-American murder: : the rise and fall of Aaron Hernandez, the superstar whose life ended on murderers' row",2018,364.1523 PAT,12,2,,
"Pollan, Michael, author.",This is your mind on plants,2021,581.6 POL,12,2,,
"Smith, Ian K., author.","Plant power : flip your plate, change your weight",2022,613.2 SMI,12,2,,
"Sisson, Mark.","Two meals a day : the simple, sustainable strategy to lose fat, reverse aging, and break free from diet frustration forever.",2021,613.25 SIS,12,2,,
"Fernandez, Carmen, author.",Reiki : the art of healing through universal energy,2021,615.852 FER,12,2,,
"Fallon, Brian, M.D., author.",Conquering Lyme disease : science bridges the great divide,2018,616.9246 FAL,12,2,,
"Aschwanden, Christie, author.",Good to go : what the athlete in all of us can learn from the strange science of recovery,2019,617.1 ASC,12,2,,
"Volhard, Wendy, author.",Dog training,2020,636.7 DUM,12,2,,
"Gray, Annie (Food historian), author.",The official Downton Abbey cookbook,2019,641.5942 GRA,12,2,,
"Buckley, Marti, author.",Basque country : a culinary journey through a food lover's paradise,2018,641.5946 BUC,12,2,,
"Hyams, Michael, author.",The mushroom cookbook : a cook's guide to edible wild and cultivated mushrooms and delicious seasonal recipes to cook with them,2017,641.658 HYA,12,2,,
"Bryant, Kobe, 1978-2020, author.",The mamba mentality : how I play,2018,796.323 BRY,12,2,,
"Irby, Samantha, author.","Wow, no thank you : essays",2020,814.6 IRB,12,2,,
"Thubron, Colin, 1939-",The Amur River : between Russia and China,2021,915.77 THU,12,2,,
"Bettinger, Blaine T., author.",The family tree guide to DNA testing and genetic genealogy,2019,929.1 BET,12,2,,
"Treuer, David, author.",The heartbeat of Wounded Knee : native America from 1890 to the present,2019,970 TRE,12,2,,
"Head, David.","A crisis of peace : George Washington, the Newburgh Conspiracy, and the fate of the American Revolution",2019,973.339 HEA,12,2,,
"Jones, Rickie Lee, author.",Last chance Texaco : chronicles of an American troubadour,2021,"BIOG JONES,R JON",12,2,,
"Peck, Josh, 1986- author.",Happy people are annoying,2022,"BIOG PECK,J PEC",12,2,,
"Cummins, June, author.",From Sarah to Sydney : The Woman Behind All-Of-a-Kind Family,2021,"BIOG TAYLOR,S CUM",12,2,,
"Vengoechea, Ximena, author.",Listen like you mean it : reclaiming the lost art of true connection,2021,153.6 VEN,12,1,,
"Manson, Mark, author.",Everything is f*cked : a book about hope,2019,158.1 MAN,12,1,,
"Chopra, Deepak, author.",Abundance : the inner path to wealth,2022,204 CHO,12,1,,
"Allende, Isabel, author.","The soul of a woman : on impatient love, long life, and good witches",2021,305.42 ALL,12,1,,
"Saslow, Eli, author.",Rising out of hatred : the awakening of a former white nationalist,2018,320.54 SAS,12,1,,
"Jacobsen, Annie, author.","Surprise, kill, vanish : the secret history of CIA paramilitary armies, operators, and assassins",2019,327.1273 JAC,12,1,,
"Dalio, Ray, 1949- author.",Principles for dealing with the changing world order,2021,330.9 DAL,12,1,,
"Portman, Janet, author.",First-time landlord : your guide to renting out a single-family home,2020,333.33 NOL,12,1,,
"LanÃ§on, Philippe, author.",Disturbance,2019,363.325 LAN,12,1,,
"Phelps, M. William, author.",We thought we knew you,2021,364.1523 PHE,12,1,,
"Ferrara, Silvia, author.",The greatest invention : a history of the world in nine mysterious scripts,2022,411 FER,12,1,,
"Nakazawa, Donna Jackson, author.",The angel and the assassin : the tiny brain cell that changed the course of medicine,2020,612.8 NAK,12,1,,
"Nolan, Tara, 1977- author.",Gardening your front yard : projects and ideas for big & small spaces,2020,635 NOL,12,1,,
"Cooper, Gwen, 1971- author.","My life in a cat house : true tales of love, laughter, and living with five felines",2018,636.8 COO,12,1,,
"Altiero, Kerry.",The best comfort food on the planet,2014,641.5 ALT,12,1,,
"Oliver, Jamie, 1975- author.",Together : memorable meals made easy,2021,641.5 OLI,12,1,,
"Pakron, Timothy, author.",Mississippi vegan : recipes & stories from a southern boy's heart,2018,641.5636 PAK,12,1,,
"Mercola, Joseph, author.",Ketofast cookbook,2019,641.5638 MER,12,1,,
"Rutland, Julia Dowling, author, illustrator.",Blueberries : 50 tried & true recipes,2019,641.64 RUT,12,1,,
"Damrosch, David, author.",Around the world in 80 books : a literary journey.,2021,809 DAM,12,1,,
"Sedaris, David, author.",Calypso,2018,814.54 SED,12,1,,
"Schur, Michael, 1975- author.",How to be perfect : the correct answer to every moral question,2022,818.6 SCH,12,1,,
"Graeber, David, author.",The dawn of everything : a new history of humanity,2021,901 GRA,12,1,,
"Ellis, Joseph J., author.","The cause : the American Revolution and its discontents, 1773-1783",2021,973.3 ELL,12,1,,
"Gura, Judith, author.",Interior landmarks : treasures of New York,2018,974.71 GUR,12,1,,
"Picardie, Justine, author.",Miss Dior : a story of courage and couture,2021,"BIOG DIOR,C PIC",12,1,,
"Frantz, Chris, 1951- author.","Remain in love : Talking Heads, Tom Tom Club, Tina",2020,"BIOG FRANTZ,C FRA",12,1,,
"Haart, Julia, 1971- author.",Brazen,2022,"BIOG HAART,J HAA",12,1,,
"Handler, Chelsea, author.","Life will be the death of me : and you, too!",2019,"BIOG HANDLER,C HAN",12,1,,
"Stanley, Amy, 1978- author.",Stranger in the Shogun's city : a Japanese woman and her world,2020,BIOG TSUNENO STA,12,1,,
"LeVitus, Bob, author.",iPad for dummies,2018,004.1675 APPLE IPAD DUM,12,0,,
"Williams, Stephen P. (Journalist), author.",Blockchain : the next everything,2019,005.7 WIL,12,0,,
"Kasparov, G. K. (Garri Kimovich), author.",Deep thinking : where machine intelligence ends and human creativity begins,2017,006.3 KAS,12,0,,
"Dean, Liz, 1965- author.","The ultimate guide to divination : the beginner's guide to using cards, crystals, runes, palmistry, and more for insight and predicting the future",2018,133.3  DEA,12,0,,
"Lucado, Max, author.","How happiness happens : finding lasting joy in a world of comparison, disappointment, and unmet expectations",2019,152.42 LUC,12,0,,
"Russell, Helen, 1980- author.",The atlas of happiness : the global secrets of how to be happy,2019,152.42 RUS,12,0,,
"Genova, Lisa.",Remember : the science of memory and the art of forgetting,2021,153.1 GEN,12,0,,
"Emre, Merve, author.",The personality brokers : the strange history of Myers-Briggs and the birth of personality testing,2018,155.28 EMR,12,0,,
"Robinson, Bryan E, author.",#Chill : turn off your job and turn on your life,2019,155.9 ROB,12,0,,
"Brach, Tara, author.",Radical compassion : learning to love yourself and your world with the practice of RAIN,2019,158 BRA,12,0,,
"Dean, Janice, 1970- author.",Make your own sunshine : inspiring stories of people who find light in dark times,2021,158.1 DEA,12,0,,
"Metz, Chrissy, 1980- author.",This is me : loving the person you are today,2018,158.1 MET,12,0,,
"Schroeder, Stassi, author.",Next level basic : the definitive basic bitch handbook,2019,158.1 SCH,12,0,,
"Siegel, Daniel J., 1957- author.",Aware : the science and practice of presence : the groundbreaking meditation practice,2018,158.12 SIE,12,0,,
"Hall, Edith, 1959- author.",Aristotle's way : how ancient wisdom can change your life,2019,170.44 HAL,12,0,,
"Osteen, Joel, author.",Next level thinking : 10 powerful thoughts for a successful and abundant life,2018,248.4 OST,12,0,,
"Beck, Charlotte Joko.",Nothing special : living Zen,1995,294.34 BEC,12,0,,
"Limbach, Adreanna, author.",Tea and cake with demons : a Buddhist guide to feeling worthy,2019,294.3444 LIM,12,0,,
"Hurwitz, Sarah, author.","Here all along : finding meaning, spirituality, and a deeper connection to life--in Judaism (after finally choosing to look there)",2019,296 HUR,12,0,,
"Oluo, Ijeoma, author.",So you want to talk about race,2018,305.8 OLU,12,0,,
"Fallows, James M. author.","Our towns : a 100,000-mile journey into the heart of America",2018,306.0973 FAL,12,0,,
"Kristof, Nicholas D., 1959- author.",Tightrope : Americans reaching for hope,2020,306.0973 KRI,12,0,,
"Machado, Carmen Maria, author.",In the dream house : a memoir,2019,306.76 MAC,12,0,,
"McBride, Sarah, 1990- author.","Tomorrow will be different : love, loss, and the fight for trans equality",2018,306.76 MCB,12,0,,
"Frum, David, 1960- author.",Trumpocracy : the corruption of the American Republic,2018,320.973 FRU,12,0,,
"DikÃ¶tter, Frank, author.",How to be a dictator : the cult of personality in the Twentieth Century,2019,321.9 DIK,12,0,,
"Horowitz, David, 1939- author.",The enemy within : how a totalitarian movement is destroying America,2021,324.2736 HOR,12,0,,
"Bouverie, Tim, 1987- author.","Appeasement : Chamberlain, Hitler, Churchill, and the road to war",2019,327.41 BOU,12,0,,
